,marca,preço,link
565,"TECLADO PARA NOTEBOOK VAIO FE14 VJFE42F11X, PADRÃO BR, PRETO","R$ 287,99",https://www.kabum.com.br//produto/388938/teclado-para-notebook-vaio-fe14-vjfe42f11x-padrao-br-preto
566,"FONTE CARREGADOR PARA HP PROBOOK 440 G1 18.5V 3.5A 65W 713, VOLTAGEM DE ENTRADA","R$ 96,00",https://www.kabum.com.br//produto/292082/fonte-carregador-para-hp-probook-440-g1-18-5v-3-5a-65w-713-voltagem-de-entrada
567,TECLADO P/ NOTEBOOK POSITIVO MASTER N1240 MOTION C41 C1TA C4500C BR,"R$ 246,00",https://www.kabum.com.br//produto/300758/teclado-p-notebook-positivo-master-n1240-motion-c41-c1ta-c4500c-br
568,NOTEBOOK SAMSUNG BOOK 15.6 FHD INTEL CELERON 6305 128GB SSD 4GB WINDOWS 11 PRO CINZA CHUMBO - NP550XDA-KP7BR,"R$ 2.939,00",https://www.kabum.com.br//produto/338572/notebook-samsung-book-15-6-fhd-intel-celeron-6305-128gb-ssd-4gb-windows-11-pro-cinza-chumbo-np550xda-kp7br
569,FONTE CARREGADOR PARA ACER ASPIRE 5733 19V 3.42A 65W 479 - VOLTAGEM DE ENTRADA,"R$ 78,99",https://www.kabum.com.br//produto/222419/fonte-carregador-para-acer-aspire-5733-19v-3-42a-65w-479-voltagem-de-entrada
570,FONTE EXTERNA PARA ALL IN ONE LG 22V270 65W 644 - 110V/220V (BIVOLT),"R$ 75,05",https://www.kabum.com.br//produto/390583/fonte-externa-para-all-in-one-lg-22v270-65w-644-110v-220v-bivolt-
571,NOTEBOOK IDEAPAD GAMING 3I I5-11300H 8GB 512GB SSD RTX 3050 4GB 15.6 POLEGADAS FHD-WVA W11 82MG0008BR,"R$ 5.599,00",https://www.kabum.com.br//produto/402682/notebook-ideapad-gaming-3i-i5-11300h-8gb-512gb-ssd-rtx-3050-4gb-15-6-polegadas-fhd-wva-w11-82mg0008br
572,"FONTE CARREGADOR P DELL INSPIRON 11-3162 19,5V 3.34A 65W 823 - VOLTAGEM DE ENTRADA","R$ 98,89",https://www.kabum.com.br//produto/216664/fonte-carregador-p-dell-inspiron-11-3162-19-5v-3-34a-65w-823-voltagem-de-entrada
573,"NOTEBOOK DELL I15-3501-N46P I5-1135U, 8GB RAM, SSD 256GB 15.6, W10, TAMANHO DA TELA 15.6, PRETO","R$ 4.999,00",https://www.kabum.com.br//produto/346525/notebook-dell-i15-3501-n46p-i5-1135u-8gb-ram-ssd-256gb-15-6-w10-tamanho-da-tela-15-6-preto
574,CAPA PARA NOTEBOOK TARGUS NEWPORT 14 AZUL - TSS100002GL,"R$ 209,09",https://www.kabum.com.br//produto/323659/capa-para-notebook-targus-newport-14-azul-tss100002gl
575,"NOTEBOOK ASUS ZENBOOK DUO 15 INTEL I9, 12ª GERAÇÃO, RAM 32GB, 2TB, 15 POLEGADAS UHD 4K, RTX 3060,  WINDOWS 10 PRO, BLACK","R$ 34.421,05",https://www.kabum.com.br//produto/403151/notebook-asus-zenbook-duo-15-intel-i9-12-geracao-ram-32gb-2tb-15-polegadas-uhd-4k-rtx-3060-windows-10-pro-black
576,"NOTEBOOK DELL I15-I1100, I7 1165G7, RAM 32GB, SSD 1TB, TELA 15.6 FULL HD, INTEL IRIS XE, WIN 11","R$ 7.275,99",https://www.kabum.com.br//produto/416877/notebook-dell-i15-i1100-i7-1165g7-ram-32gb-ssd-1tb-tela-15-6-full-hd-intel-iris-xe-win-11
577,TECLADO P/ NOTEBOOK FTI COMPAQ PRESARIO  CQ-27 BR,"R$ 255,99",https://www.kabum.com.br//produto/319498/teclado-p-notebook-fti-compaq-presario-cq-27-br
578,FONTE PARA LENOVO THINKPAD X100E 65W 20V 3.25A PLUGAO 558,"R$ 99,50",https://www.kabum.com.br//produto/320029/fonte-para-lenovo-thinkpad-x100e-65w-20v-3-25a-plugao-558
579,"CHROMEBOOK LENOVO 100E GEN 3 AMD 3015C3 4GB RAM, 32GB, EMMC GOOGLE CHROME, 11.6 POLEGADAS, ANTIRREFLEXO 82J80001BR, PRETO","R$ 1.879,00",https://www.kabum.com.br//produto/272937/chromebook-lenovo-100e-gen-3-amd-3015c3-4gb-ram-32gb-emmc-google-chrome-11-6-polegadas-antirreflexo-82j80001br-preto
580,"NOTEBOOK LENOVO IDEAPAD 3I - INTEL I5 1135G7, 16GB RAM, SSD 256GB,  15.6 POLEGADAS FULL HD, INTEL IRIS XE, WINDOWS 10, PRATA","R$ 4.912,99",https://www.kabum.com.br//produto/400886/notebook-lenovo-ideapad-3i-intel-i5-1135g7-16gb-ram-ssd-256gb-15-6-polegadas-full-hd-intel-iris-xe-windows-10-prata
581,"FONTE CARREGADOR PARA DELL OPTIPLEX 7050 MFF MICRO 19,5V 823 - VOLTAGEM DE ENTRADA","R$ 98,89",https://www.kabum.com.br//produto/215831/fonte-carregador-para-dell-optiplex-7050-mff-micro-19-5v-823-voltagem-de-entrada
582,"PC GAMER FÁCIL COMPLETO, AMD RYZEN 5 5600G 3.9GHZ, 16GB DDR4, RTX 3050 8GB, HD 1TB E SSD 120GB, MONITOR 19 POLEGADAS, KIT","R$ 6.989,00",https://www.kabum.com.br//produto/396521/pc-gamer-facil-completo-amd-ryzen-5-5600g-3-9ghz-16gb-ddr4-rtx-3050-8gb-hd-1tb-e-ssd-120gb-monitor-19-polegadas-kit
583,"FONTE CARREGADOR PARA DELL INSPIRON 15 5000 5568 65W 823, 110V/220V BIVOLT","R$ 98,89",https://www.kabum.com.br//produto/296011/fonte-carregador-para-dell-inspiron-15-5000-5568-65w-823-110v-220v-bivolt
584,"APPLE MACBOOK AIR 13,6” M2 8GB RAM","R$ 10.044,00",https://www.kabum.com.br//produto/397257/apple-macbook-air-13-6-m2-8gb-ram
585,"FONTE CARREGADOR PARA LENOVO IDEAPAD 110-14IBR 310 320 20V, PONTA FINA","R$ 116,00",https://www.kabum.com.br//produto/270617/fonte-carregador-para-lenovo-ideapad-110-14ibr-310-320-20v-ponta-fina
586,FONTE CARREGADOR P DELL INSPIRON 15-7558-A20 19.5V 3.34A 823 - VOLTAGEM DE ENTRADA,"R$ 98,89",https://www.kabum.com.br//produto/291881/fonte-carregador-p-dell-inspiron-15-7558-a20-19-5v-3-34a-823-voltagem-de-entrada
587,"PC GAMER FÁCIL COMPLETO, AMD RYZEN 5 5600G 3.9GHZ, 16GB DDR4, GTX 1050TI 4GB, HD 1TB E SSD 120GB, MONITOR 19 POLEGADAS","R$ 5.079,00",https://www.kabum.com.br//produto/396501/pc-gamer-facil-completo-amd-ryzen-5-5600g-3-9ghz-16gb-ddr4-gtx-1050ti-4gb-hd-1tb-e-ssd-120gb-monitor-19-polegadas
